DATE,TMAX,TMIN,PRCP,SNOW,AWND,TEMP_AVG,RAIN_FLAG,HOT_DAY,COLD_DAY,WEEKDAY,IS_WEEKEND
2023/1/1,12.8,9.4,0,0,22,11.100000000000001,0,0,0,6,1
2023/1/2,13.3,9.4,0.5,0,16,11.350000000000001,1,0,0,0,0
2023/1/3,14.4,8.3,10.7,0,14,11.350000000000001,1,0,0,1,0
2023/1/4,18.9,9.4,0.5,0,20,14.149999999999999,1,0,0,2,0
2023/1/5,10,6.7,0.3,0,23,8.35,1,0,0,3,0
2023/1/6,9.4,3.9,6.9,0,24,6.65,1,0,0,4,0
2023/1/7,7.2,2.8,0,0,30,5,0,0,0,5,1
2023/1/8,5,0.6,0,0,21,2.8,0,0,0,6,1
2023/1/9,6.7,2.8,0.3,0,20,4.75,1,0,0,0,0
2023/1/10,5,3.3,0,0,19,4.15,0,0,0,1,0
2023/1/11,3.9,1.7,0,0,29,2.8,0,0,0,2,0
2023/1/12,12.8,2.8,7.6,0,22,7.800000000000001,1,0,0,3,0
2023/1/13,13.9,3.3,2.3,0,32,8.6,1,0,0,4,0
2023/1/14,3.3,-0.5,0,0,40,1.4,0,0,1,5,1
2023/1/15,5,-1,0,0,43,2,0,0,1,6,1
2023/1/16,8.9,-2.1,0,0,34,3.4000000000000004,0,0,1,0,0
2023/1/17,8.3,1.7,0,0,14,5,0,0,0,1,0
2023/1/18,11.7,5.6,1.3,0,34,8.649999999999999,1,0,0,2,0
2023/1/19,6.7,4.4,22.1,0,19,5.550000000000001,1,0,0,3,0
2023/1/20,9.4,4.4,0,0,30,6.9,0,0,0,4,0
2023/1/21,5.6,2.8,0,0,25,4.199999999999999,0,0,0,5,1
2023/1/22,5.6,2.2,13,0,21,3.9,1,0,0,6,1
2023/1/23,3.9,2.2,10.4,0,34,3.05,1,0,0,0,0
2023/1/24,7.8,1.7,0,0,31,4.75,0,0,0,1,0
2023/1/25,12.2,1.7,22.9,0,27,6.949999999999999,1,0,0,2,0
2023/1/26,13.9,5,11.2,0,40,9.45,1,0,0,3,0
2023/1/27,6.7,1.7,0,0,26,4.2,0,0,0,4,0
2023/1/28,11.1,2.2,0,0,32,6.65,0,0,0,5,1
2023/1/29,11.7,5.6,0,0,21,8.649999999999999,0,0,0,6,1
2023/1/30,12.8,6.1,0,0,13,9.45,0,0,0,0,0
2023/1/31,10,-0.5,1.5,0,19,4.75,1,0,1,1,0
2023/2/1,3.3,-3.2,0.5,10,25,0.04999999999999982,1,0,1,2,0
2023/2/2,4.4,-1.6,0,0,22,1.4000000000000001,0,0,1,3,0
2023/2/3,1.7,-11.6,0,0,53,-4.95,0,0,1,4,0
2023/2/4,-2.7,-16,0,0,39,-9.35,0,0,1,5,1
2023/2/5,9.4,-2.7,0,0,16,3.35,0,0,1,6,1
2023/2/6,11.1,1.1,0,0,22,6.1,0,0,0,0,0
2023/2/7,6.1,-1,0.5,0,22,2.55,1,0,1,1,0
2023/2/8,11.7,3.9,0,0,27,7.8,0,0,0,2,0
2023/2/9,12.8,5.6,0,0,16,9.2,0,0,0,3,0
2023/2/10,16.1,7.2,0,0,38,11.65,0,0,0,4,0
2023/2/11,7.8,2.2,0,0,26,5,0,0,0,5,1
2023/2/12,8.9,3.3,0.3,0,19,6.1,1,0,0,6,1
2023/2/13,13.9,5,0,0,33,9.45,0,0,0,0,0
2023/2/14,12.2,4.4,0,0,25,8.3,0,0,0,1,0
2023/2/15,19.4,8.3,0,0,20,13.85,0,0,0,2,0
2023/2/16,21.1,13.3,1.8,0,16,17.200000000000003,1,0,0,3,0
2023/2/17,16.1,0,4.6,0,32,8.05,1,0,0,4,0
2023/2/18,6.1,-2.7,0,0,37,1.6999999999999997,0,0,1,5,1
2023/2/19,10,2.8,0,0,15,6.4,0,0,0,6,1
2023/2/20,16.1,8.3,0,0,27,12.200000000000001,0,0,0,0,0
2023/2/21,10,2.8,6.9,0,22,6.4,1,0,0,1,0
2023/2/22,6.7,2.8,3.6,0,27,4.75,1,0,0,2,0
2023/2/23,6.7,3.3,0.5,0,33,5,1,0,0,3,0
2023/2/24,7.2,-3.8,0,0,39,1.7000000000000002,0,0,1,4,0
2023/2/25,0.6,-4.9,0,0,16,-2.15,0,0,1,5,1
2023/2/26,10,-1,0,0,24,4.5,0,0,1,6,1
2023/2/27,7.8,0.6,5.3,23,23,4.2,1,0,0,0,0
2023/2/28,3.3,0,8.6,23,25,1.65,1,0,0,1,0
2023/3/1,6.7,0.6,0,0,26,3.65,0,0,0,2,0
2023/3/2,12.2,3.9,0,0,25,8.049999999999999,0,0,0,3,0
2023/3/3,8.3,2.8,3.8,0,26,5.550000000000001,1,0,0,4,0
2023/3/4,7.2,3.3,25.1,0,36,5.25,1,0,0,5,1
2023/3/5,11.7,3.3,0,0,36,7.5,0,0,0,6,1
2023/3/6,11.1,4.4,0,0,24,7.75,0,0,0,0,0
2023/3/7,8.3,0.6,1.5,3,48,4.45,1,0,0,1,0
2023/3/8,8.9,-0.5,0,0,38,4.2,0,0,1,2,0
2023/3/9,10.6,0.6,0,0,35,5.6,0,0,0,3,0
2023/3/10,7.8,1.7,9.1,0,17,4.75,1,0,0,4,0
2023/3/11,7.2,1.7,10.2,0,37,4.45,1,0,0,5,1
2023/3/12,8.9,1.1,0,0,19,5,0,0,0,6,1
2023/3/13,7.2,3.3,17,0,32,5.25,1,0,0,0,0
2023/3/14,3.3,0.6,3.3,0,46,1.95,1,0,0,1,0
2023/3/15,7.2,1.1,0,0,58,4.15,0,0,0,2,0
2023/3/16,15,1.1,0,0,28,8.05,0,0,0,3,0
2023/3/17,15.6,8.3,0,0,15,11.95,0,0,0,4,0
2023/3/18,13.3,4.4,0.5,0,31,8.850000000000001,1,0,0,5,1
2023/3/19,4.4,-1.6,0,0,39,1.4000000000000001,0,0,1,6,1
2023/3/20,10.6,-0.5,0,0,22,5.05,0,0,1,0,0
2023/3/21,17.2,4.4,0,0,26,10.8,0,0,0,1,0
2023/3/22,16.7,8.9,0,0,16,12.8,0,0,0,2,0
2023/3/23,15.6,8.9,2.3,0,21,12.25,1,0,0,3,0
2023/3/24,12.8,6.7,0,0,23,9.75,0,0,0,4,0
2023/3/25,8.3,5.6,3.8,0,36,6.95,1,0,0,5,1
2023/3/26,17.2,6.7,0,0,27,11.95,0,0,0,6,1
2023/3/27,16.7,6.1,7.4,0,26,11.399999999999999,1,0,0,0,0
2023/3/28,11.1,5.6,0,0,18,8.35,0,0,0,1,0
2023/3/29,12.8,3.9,0,0,26,8.35,0,0,0,2,0
2023/3/30,7.8,-0.5,0.3,0,33,3.65,1,0,1,3,0
2023/3/31,13.9,3.3,0,0,11,8.6,0,0,0,4,0
2023/4/1,22.2,10.6,9.7,0,22,16.4,1,0,0,5,1
2023/4/2,10.6,4.4,0,0,41,7.5,0,0,0,6,1
2023/4/3,15,3.9,0,0,20,9.45,0,0,0,0,0
2023/4/4,22.8,8.9,0,0,8,15.850000000000001,0,0,0,1,0
2023/4/5,13.9,7.8,0,0,38,10.85,0,0,0,2,0
2023/4/6,26.7,8.3,0,0,14,17.5,0,0,0,3,0
2023/4/7,15.6,5.6,0,0,36,10.6,0,0,0,4,0
2023/4/8,12.2,2.8,0,0,15,7.5,0,0,0,5,1
2023/4/9,13.9,4.4,0,0,19,9.15,0,0,0,6,1
